Corporate Cluster ID,Selection Rank,Priority Score,Representative Employer,Legal/Discovery Records Covered,Resolution Outcome,Corporate Website,Careers Landing URL,Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Resolution Status,Verification Evidence URL,Verified Date,Parent Override,Deferral Reason,Notes
CG-2C8F607B00,1,88,Charter Communications,1,RESOLVED,https://corporate.charter.com/,https://jobs.spectrum.com/,https://jobs.spectrum.com/search-jobs,Charter/Spectrum United States careers,Radancy / TalentBrew,High,VERIFIED_WAVE6,https://jobs.spectrum.com/search-jobs,2026-08-31,,,Official Spectrum job search identifies the Charter Communications recruiting surface
CG-EECDDD10D7,2,85,Intel,1,RESOLVED,https://www.intel.com/,https://jobs.intel.com/,https://intel.wd1.myworkdayjobs.com/External,Global Intel external careers,Workday,High,VERIFIED_WAVE6,https://www.intel.com/content/www/us/en/support/articles/000091697/programs.html,2026-08-31,,,Intel states that all available jobs are posted through its official careers service and the live application tenant is Intel Workday
CG-B7F4192DF6,3,83,Cummins,1,RESOLVED,https://www.cummins.com/,https://cummins.jobs/,https://cummins.jobs/,Global Cummins careers,NLx hosted careers / Oracle application backend,Medium,VERIFIED_WAVE6,https://cummins.jobs/,2026-08-31,,,Official Cummins careers site exposes job search and links applications to the corporate Oracle recruiting backend
CG-5FEE3E2296,4,83,Huntington Ingalls Industries,1,RESOLVED,https://www.hii.com/,https://www.hii.com/careers,https://careers.huntingtoningalls.com/,HII corporate and shipbuilding careers,SuccessFactors Recruiting Marketing,High,VERIFIED_WAVE6,https://careers.huntingtoningalls.com/,2026-08-31,,,Official HII careers page links the public SAP SuccessFactors job board
CG-6ED5E17232,5,83,Nucor,1,RESOLVED,https://nucor.com/,https://nucor.com/careers/,https://jobs.nucor.com/search/,Global Nucor and subsidiary careers,SuccessFactors Recruiting Marketing,High,VERIFIED_WAVE6,https://nucor.com/careers/,2026-08-31,,,Official Nucor careers page links the complete public job search
CG-845D62A600,6,83,Textron,1,RESOLVED,https://www.textron.com/,https://careers.textron.com/,https://careers.textron.com/jobs/,Global Textron business careers,Radancy / TalentBrew with Taleo application backend,High,VERIFIED_WAVE6,https://careers.textron.com/,2026-08-31,,,Official Textron careers service identifies legitimate postings and its public job search
CG-B9F43C30F5,7,83,Truist Financial,1,RESOLVED,https://www.truist.com/,https://careers.truist.com/us/en/,https://careers.truist.com/us/en/search-results,Truist United States careers,Phenom,High,VERIFIED_WAVE6,https://careers.truist.com/us/en/search-results,2026-08-31,,,Official branded Phenom search-results endpoint is publicly reachable
CG-D1D9B9355F,8,81,AIR,2,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,AIR is an ambiguous short name across two source geographies; no parent or same-name match is forced.,No registry change is emitted for deferred rows.
CG-B3DEB52441,9,81,EID,2,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,EID is an ambiguous short name across two source geographies; no parent or same-name match is forced.,No registry change is emitted for deferred rows.
CG-623D9F9489,10,80,Bavak Security Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-45F451786C,11,80,Cyber Defense Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-22FC6FCBDD,12,80,Cybernet Systems,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-0CADC74426,13,80,DATAGROUP Defense IT Services,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-ECF8355D1B,14,80,Defense Cybersecurity Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-6567D3209E,15,80,Demcon defense and security systems,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-39E42201D0,16,80,Maltego Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-626A564DFC,17,80,Modirum Security Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-0593F30A87,18,80,State Security Networks Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-2B5AF07632,19,80,Texas Tech University Critical Infrastructure Security Institute,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,The named Texas Tech institute is an organizational unit rather than a proven standalone employer portal.,No registry change is emitted for deferred rows.
CG-47D3689EEB,20,80,Watchcom Security Group,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-1EC558A60B,21,79,GO,2,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-7E93C5BFB7,22,78,Airis Security Technologies,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-8163A0A8F4,23,78,123 Cyber,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-2BDBFDC4B9,24,78,Achray Cybersecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-C5865635EC,25,78,Acropolis Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-456D989B65,26,78,Aegis Infosec Solutions,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-56E19B6470,27,78,BeOneSec Cybersecurity Solutions,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-E32F5D1B85,28,78,Beryllium InfoSec,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-8502A24996,29,78,BMIT Cybersecurity,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-28492B0440,30,78,Captium Security & Defence,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
CG-84BDAB16C0,31,78,Cervus Defence and Security,1,DEFERRED,,,,,,,DEFERRED_WAVE6,,,,No unique official careers and job-search endpoint was approved in the bounded verification tranche; preserve for a later evidence-led review.,No registry change is emitted for deferred rows.
