employer_name,corporate_cluster_id,priority,cohort,source_key,source_scope,canonical_careers_url,operational_url,ats_family,evidence_state,resolution_path,adapter_supported,catalog_state,last_verified_at,evidence_url,notes,scan_enabled
Google,CG-C65DC3B9A9,1,CORE_200,google_custom,Global,https://www.google.com/about/careers/applications/jobs/results,https://www.google.com/about/careers/applications/jobs/results,Custom Google RPC,FIRST_PARTY_VERIFIED,READY_TO_PROBE,YES,VERIFIED,2026-09-02,https://www.google.com/about/careers/applications/jobs/results,Custom Google Careers structured RPC; V24 GoogleCareersAdapter (decision 0049); probe-scoped 200-page budget (decision 0050),Y
Microsoft,CG-64814A3B7F,2,CORE_200,microsoft_custom,Global,https://careers.microsoft.com/,https://careers.microsoft.com/,Custom Microsoft Careers frontend,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://careers.microsoft.com/,Backend UNKNOWN; no Eightfold assumption; first-party search/network inspection required before any ATS claim,N
Amazon / AWS,CG-1E17FD881E,3,CORE_200,amazon_jobs,Global,https://www.amazon.jobs/,https://www.amazon.jobs/,Amazon Jobs proprietary,FIRST_PARTY_VERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.amazon.jobs/,First-party surface verified; structured search/detail endpoints not frozen in supplied ZIP; resolver/fingerprint queue,N
Meta,CG-CB03049115,4,CORE_200,metacareers,Global,https://www.metacareers.com/jobs/,https://www.metacareers.com/jobs/,Meta Careers proprietary,PROBABLE,HOLD,NO,UNTESTED,2026-09-02,https://www.metacareers.com/jobs/,Backend family not directly frozen; current search/detail contract requires network inspection,N
Apple,CG-D0BE2DC421,5,CORE_200,apple_jobs,Global,https://jobs.apple.com/,https://jobs.apple.com/,Apple Jobs proprietary,FIRST_PARTY_VERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://jobs.apple.com/,Custom Apple surface verified; stable role numbers visible but no structured adapter; first-party datasource discovery required,N
NVIDIA,CG-05F5439F98,6,CORE_200,nvidia_workday,Global,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,Live wd5 external site; existing Workday adapter available; one Boards API probe required for COMPLETE_CATALOG_VERIFIED,N
Cloudflare,CG-F036F57906,7,CORE_200,cloudflare_greenhouse,Global,https://www.cloudflare.com/careers/jobs/,https://job-boards.greenhouse.io/cloudflare,Greenhouse,PROBABLE,FINGERPRINT_REQUIRED,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/cloudflare,Vanity board currently redirects to first-party careers; greenhouse token 'cloudflare' requires one direct Boards API proof; do not auto-FAST_PATH from redirect alone,N
Palo Alto Networks,CG-710F91B65A,8,CORE_200,panw_custom,Global,https://jobs.paloaltonetworks.com/en/search_jobs,https://jobs.paloaltonetworks.com/en/search_jobs,Custom hosted career search,PROBABLE,FINGERPRINT_REQUIRED,NO,UNTESTED,2026-09-02,https://jobs.paloaltonetworks.com/en/search_jobs,Phenom-style signatures plausible but not frozen; one cheap direct page/network check before FAST_PATH,N
CrowdStrike,CG-CEC06F879A,9,CORE_200,crowdstrike_workday,Global,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers,Live wd5 crowdstrikecareers; existing Workday adapter; one Boards API probe required for COMPLETE_CATALOG_VERIFIED,N
Cisco,CG-7AF78C911D,10,CORE_200,cisco_jobs,Global,https://jobs.cisco.com/jobs/SearchJobs/,https://jobs.cisco.com/jobs/SearchJobs/,Cisco Jobs custom search,PROBABLE,HOLD,NO,UNTESTED,2026-09-02,https://jobs.cisco.com/jobs/SearchJobs/,Backend not frozen; network/API inspection required before any ATS claim,N
Datadog,CG-8BAB8F900C,11,CORE_200,datadog_greenhouse,Global,https://careers.datadoghq.com/,https://job-boards.greenhouse.io/datadog,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://job-boards.greenhouse.io/datadog,Live Boards API token 'datadog' verified; one Boards API parity check required for COMPLETE_CATALOG_VERIFIED,N
IBM,CG-D3AC7A4EF1,12,CORE_200,ibm_custom,Global,https://www.ibm.com/employment/,https://www.ibm.com/employment/,Custom IBM careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.ibm.com/employment/,Backend vendor not directly proven; first-party search/network inspection required,N
Oracle,CG-431364B645,13,CORE_200,oracle_recruiting_cloud,Global,https://www.oracle.com/careers/,https://www.oracle.com/careers/,Oracle Recruiting Cloud,UNVERIFIED,FINGERPRINT_REQUIRED,YES,UNTESTED,2026-09-02,https://www.oracle.com/careers/,ORC adapter present; tenant/site tuple not directly proven; one cheap fingerprint before FAST_PATH,N
Palantir Technologies,CG-1F09F61ED6,12,CORE_200,palantir_lever,Global,https://palantir.com/careers/,https://jobs.lever.co/palantir,Lever,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.lever.co/palantir,Live Lever board; existing Lever adapter; one Boards API probe required for COMPLETE_CATALOG_VERIFIED,N
Broadcom,CG-6081F87907,13,CORE_200,broadcom_custom,Global,https://www.broadcom.com/company/careers.html,https://www.broadcom.com/company/careers.html,Custom Broadcom careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.broadcom.com/company/careers.html,Backend vendor not directly proven; first-party search/network inspection required,N
Fortinet,CG-D73D4A8B6A,14,CORE_200,fortinet_custom,Global,https://www.fortinet.com/corporate/careers,https://www.fortinet.com/corporate/careers,Custom hosted careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.fortinet.com/corporate/careers,Custom hosted careers flow; no supported ATS family proven; fingerprint first-party apply handoff,N
Zscaler,CG-62C559B42E,15,CORE_200,zscaler_custom,Global,https://www.zscaler.com/careers,https://www.zscaler.com/careers,Custom first-party search,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://www.zscaler.com/careers,Backend family not yet proven from first-party evidence; do not infer SmartRecruiters/other ATS,N
