Corporate Cluster ID,Resolved Corporate Website,Resolved Careers Landing URL,Resolved Jobs Search URL,Portal Scope,ATS Family,ATS Confidence,Portal Resolution Status,Portal Verification URL,Portal Verified Date,Resolution Parent Override,Resolution Wave,Reason
CG-2C8F607B00,https://corporate.charter.com/,https://jobs.spectrum.com/,https://jobs.spectrum.com/search-jobs,Charter/Spectrum United States careers,Radancy / TalentBrew,High,VERIFIED_WAVE6,https://jobs.spectrum.com/search-jobs,2026-08-31,,W6,Official Spectrum job search identifies the Charter Communications recruiting surface
CG-EECDDD10D7,https://www.intel.com/,https://jobs.intel.com/,https://intel.wd1.myworkdayjobs.com/External,Global Intel external careers,Workday,High,VERIFIED_WAVE6,https://www.intel.com/content/www/us/en/support/articles/000091697/programs.html,2026-08-31,,W6,Intel states that all available jobs are posted through its official careers service and the live application tenant is Intel Workday
CG-B7F4192DF6,https://www.cummins.com/,https://cummins.jobs/,https://cummins.jobs/,Global Cummins careers,NLx hosted careers / Oracle application backend,Medium,VERIFIED_WAVE6,https://cummins.jobs/,2026-08-31,,W6,Official Cummins careers site exposes job search and links applications to the corporate Oracle recruiting backend
CG-5FEE3E2296,https://www.hii.com/,https://www.hii.com/careers,https://careers.huntingtoningalls.com/,HII corporate and shipbuilding careers,SuccessFactors Recruiting Marketing,High,VERIFIED_WAVE6,https://careers.huntingtoningalls.com/,2026-08-31,,W6,Official HII careers page links the public SAP SuccessFactors job board
CG-6ED5E17232,https://nucor.com/,https://nucor.com/careers/,https://jobs.nucor.com/search/,Global Nucor and subsidiary careers,SuccessFactors Recruiting Marketing,High,VERIFIED_WAVE6,https://nucor.com/careers/,2026-08-31,,W6,Official Nucor careers page links the complete public job search
CG-845D62A600,https://www.textron.com/,https://careers.textron.com/,https://careers.textron.com/jobs/,Global Textron business careers,Radancy / TalentBrew with Taleo application backend,High,VERIFIED_WAVE6,https://careers.textron.com/,2026-08-31,,W6,Official Textron careers service identifies legitimate postings and its public job search
CG-B9F43C30F5,https://www.truist.com/,https://careers.truist.com/us/en/,https://careers.truist.com/us/en/search-results,Truist United States careers,Phenom,High,VERIFIED_WAVE6,https://careers.truist.com/us/en/search-results,2026-08-31,,W6,Official branded Phenom search-results endpoint is publicly reachable
CG-6778066D46,https://cyber.ee/,https://cyber.ee/careers/,https://cyber.ee/careers/open-positions/,Cybernetica first-party careers,Custom first-party job board,High,VERIFIED_WAVE6,https://cyber.ee/careers/open-positions/,2026-08-31,,W6,Official Cybernetica page lists current positions and internship routing
CG-27E7AFCF5E,https://www.kratosdefense.com/,https://www.kratosdefense.com/careers,https://www.kratosdefense.com/careers/open-roles,Global Kratos careers with regional links,Pereless embedded job board,High,VERIFIED_WAVE6,https://www.kratosdefense.com/careers/open-roles,2026-08-31,,W6,Official Kratos open-roles page embeds its Pereless recruiting board and documents the trusted recruiter domain
CG-EF569AC6D4,https://nordsecurity.com/,https://nordsecurity.com/careers,https://nordsecurity.com/careers,Global Nord Security careers,Custom first-party job board,High,VERIFIED_WAVE6,https://nordsecurity.com/careers,2026-08-31,,W6,Official Nord Security careers page exposes searchable current roles and early-career vacancies
CG-B9DDDCB992,https://www.secunet.com/,https://www.secunet.com/en/about-us/career,https://jobs.secunet.com/,secunet group careers,Custom hosted job board,High,VERIFIED_WAVE6,https://www.secunet.com/en/about-us/career,2026-08-31,,W6,Official secunet careers page links the public group job board and junior and internship routes
CG-DD22BA2510,https://www.ssh.com/,https://careers.ssh.com/,https://careers.ssh.com/jobs,Global SSH Communications Security careers,Teamtailor,High,VERIFIED_WAVE6,https://careers.ssh.com/jobs,2026-08-31,,W6,Official SSH Teamtailor site provides the public job list even when no vacancy is currently open
CG-B6840442CB,https://www.apsbank.com.mt/,https://www.apsbank.com.mt/careers/,https://apsbank.hire.trakstar.com/,APS Bank Malta careers,Trakstar Hire,High,VERIFIED_WAVE6,https://www.apsbank.com.mt/careers/,2026-08-31,,W6,Official APS Bank careers page links its branded Trakstar vacancies board
CG-B43F46414F,https://www.bov.com/,https://www.bov.com/Careers,https://portal.dynamicsats.com/JobListing/9ab03acd-680b-4138-96b5-d6e2d16220d8,Bank of Valletta Malta careers,Dynamics ATS,High,VERIFIED_WAVE6,https://www.bov.com/Careers,2026-08-31,,W6,Official Bank of Valletta careers page links the specific public Dynamics ATS listing
CG-6AC7E933E6,https://www.citadele.lv/en/,https://www.citadele.lv/en/career/,https://www.citadele.lv/en/career/,Citadele Baltic careers,Custom first-party job board,High,VERIFIED_WAVE6,https://www.citadele.lv/en/career/,2026-08-31,,W6,Official Citadele careers page lists and filters current Baltic positions
