Corporate Cluster ID,Selection Rank,Representative Employer,Resolution Outcome,Unique Selection Check,Prior Mapping Check,Evidence Completeness Check,Registry Action,Audit Result,Audit Notes
CG-2C8F607B00,1,Charter Communications,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-EECDDD10D7,2,Intel,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-B7F4192DF6,3,Cummins,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-5FEE3E2296,4,Huntington Ingalls Industries,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-6ED5E17232,5,Nucor,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-845D62A600,6,Textron,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-B9F43C30F5,7,Truist Financial,RESOLVED,PASS,PASS,PASS,ADD,PASS,Complete official endpoint evidence; versioned ADD emitted.
CG-D1D9B9355F,8,AIR,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-B3DEB52441,9,EID,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-623D9F9489,10,Bavak Security Group,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-45F451786C,11,Cyber Defense Technologies,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-22FC6FCBDD,12,Cybernet Systems,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-0CADC74426,13,DATAGROUP Defense IT Services,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-ECF8355D1B,14,Defense Cybersecurity Group,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-6567D3209E,15,Demcon defense and security systems,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-39E42201D0,16,Maltego Technologies,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
CG-626A564DFC,17,Modirum Security Technologies,DEFERRED,PASS,PASS,PASS,NONE,PASS,Deferral reason recorded; no endpoint or mapping forced.
